not bad discovery,not good discovery
cure cancer,have cancer
can cure disease,can't cure disease
good noise,bad noise
not bad noise,not good noise
good holiday,bad holiday
not bad holiday,not good holiday
happy holiday,not happy holiday
good drink,bad drink
not bad drink,not good drink
good food,not good food
not bad food,bad food
end starvation,starvation
end slavery,slavery
end oppression,oppression
stable government,not stable government
good reaction,bad reaction
not bad reaction,not good reaction
good accounting,bad accounting
not bad accounting,not good accounting
accomplish good thing,accomplish bad thing
good impression,bad impression
not bad impression,not good impression
good comedy,bad commedy
not bad commedy,not good comedy
survived,not survived
good object,bad object
not bad object,not good object
good touch,bad touch
not bad touch,not good touch
good game,bad game
not bad game,not good game
is happy,is not happy
is happy,is unhhappy
not angry not dissapointed,not angry just dissapointed
happy and satasfied,angry and disappointed
not angry or disappointed,not happy or satasfied
not disappointed,disappointed
good victorious,bad victorious
answer call for help,call for help no answer
good answer,not good answer
not bad answer,bad answer
good question,not good question
not bad question,bad question
interested,not interested
good interest,bad interest
not bad interest,not good interest
doesn't suck,this sucks
not boring,boring
good action,bad action
not bad action,not good action
good effect,not good effect
not bad effect,bad effect
enjoyed,not enjoyed
